title,issue_number,link,labels,Branded variable name,CF standard name,CMIP6 Differences,Cell measures,Cell methods,Comment,Dimensions,Frequency,Long name,Modeling realm,Positive,Processing notes,Region,Units,Variable status,Expression HadGEM3-GC31,Expression HadGEM3-GC5,Expression UKESM1,Expression UKESM1-3,Expression UKESM2,Model units
Variable atmosChem.flashrate.tavg-u-hxy-u.day.GLB (Eday.flashrate),724,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/724,day atmosChem approved_UKESM,flashrate_tavg-u-hxy-u,frequency_of_lightning_flashes_per_unit_area,Not present,area: areacella,area: time: mean,Lightning Flash Rate,longitude latitude time,day,Lightning Flash Rate,atmosChem,,frequency of lightning flashes per unit area,GLB,km-2 s-1,New,,,div_by_area(m01s50i082[lbproc=128]),div_by_area(m01s50i082[lbproc=128]),,m-2 min-1
Variable atmosChem.wetno3.tavg-al-hxy-u.mon.GLB (AERmon.wetno3),423,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/423,mon atmosChem do-not-produce,wetno3_tavg-al-hxy-u,tendency_of_atmosphere_mass_content_of_nitrate_dry_aerosol_particles_due_to_wet_deposition,Not present,area: areacella,area: time: mean,This is the loss rate of nitrate aerosol from the atmosphere due to wet deposition,longitude latitude alevel time,mon,Wet deposition of nitrate aerosol,atmosChem,,,GLB,kg m-2 s-1,New,,,,,,
Variable atmosChem.wethno3.tavg-al-hxy-u.mon.GLB (AERmon.wethno3),420,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/420,mon atmosChem approved_UKESM,wethno3_tavg-al-hxy-u,tendency_of_atmosphere_mass_content_of_nitric_acid_due_to_wet_deposition,Not present,area: areacella,area: time: mean,This is the loss rate of nitric acid (HNO3) from the atmosphere due to wet deposition,longitude latitude alevel time,mon,wet deposition of HNO3,atmosChem,,,GLB,kg m-2 s-1,New,,,"achem_emdrywet(MOLECULAR_MASS_OF_HONO2, m01s50i190[lbproc=128], areadiv='True')","achem_emdrywet(MOLECULAR_MASS_OF_HONO2, m01s50i190[lbproc=128], areadiv='True')",,g m-2 s-1
Variable atmosChem.tropo3ste.tavg-al-hxy-u.mon.GLB (AERmon.tropo3ste),412,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/412,mon atmosChem do-not-produce,tropo3ste_tavg-al-hxy-u,mole_fraction_of_ozone_in_air,Not present,area: areacella,area: time: mean,Ozone tracer intended to map out strat-trop exchange (STE) of ozone in the troposphere. It represents the ozone volume mixing ratio in the troposphere that is considered to be stratospheric in origin. It should be consistent with the definition of tropopause used to calculate the pressure of the tropopause (ptp). It should have zero values in the stratosphere and non-zero positive values in the troposphere.,longitude latitude alevel time,mon,Tropospheric ozone volume mixing ratio due to stratosphere-troposphere exchange (STE),atmosChem,,,GLB,mol mol-1,New,,,,,,
Variable atmosChem.tropdo3chm.tavg-al-hxy-u.mon.GLB (AERmon.tropdo3chm),411,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/411,mon atmosChem approved_UKESM,tropdo3chm_tavg-al-hxy-u,tendency_of_atmosphere_mole_concentration_of_ozone_due_to_net_chemical_production,Not present,area: areacella,area: time: mean,This is the net chemical tendency of ozone in the troposphere. The distinction between the stratosphere and troposphere should be consistent with the definition of the tropopause used in the calculation of the tropopause pressure (ptp). It should have zero values in the stratosphere.,longitude latitude alevel time,mon,Net Chemistry Tendency of O3 in troposphere,atmosChem,,,GLB,mol m-3 s-1,New,,,m01s50i052[lbproc=128] / m01s50i255[lbproc=128],m01s50i052[lbproc=128] / m01s50i255[lbproc=128],,mol m-3 s-1
Variable atmosChem.tropch4lossoh.tavg-al-hxy-u.mon.GLB (AERmon.tropch4lossoh),410,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/410,mon atmosChem approved_UKESM,tropch4lossoh_tavg-al-hxy-u,tendency_of_atmosphere_mole_concentration_of_methane_due_to_chemical_destruction_by_hydroxyl_radical,Not present,area: areacella,area: time: mean,This is the loss rate of tropospheric methane due to reaction with the hydroxy (OH) radical. The distinction between stratosphere and troposphere should be consistent with the tropopause used to calculate the pressure of the tropopause (ptp). It should have zero values in the stratosphere.,longitude latitude alevel time,mon,Tropospheric loss of methane by OH,atmosChem,,,GLB,mol m-3 s-1,New,,,m01s50i041[lbproc=128] / m01s50i255[lbproc=128],m01s50i041[lbproc=128] / m01s50i255[lbproc=128],,mol m-3 s-1
Variable atmosChem.tropch4loss.tavg-al-hxy-u.mon.GLB (AERmon.tropch4loss),409,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/409,mon atmosChem do-not-produce,tropch4loss_tavg-al-hxy-u,tendency_of_atmosphere_mole_concentration_of_methane_due_to_chemical_destruction,Not present,area: areacella,area: time: mean,This is the loss rate of tropospheric methane by all chemical destruction. The distinction between stratosphere and troposphere should be consistent with the tropopause used in the calculation of the tropopause pressure (ptp). It should have zero values in the stratosphere.,longitude latitude alevel time,mon,Loss of Tropospheric Methane by all chemical destruction,atmosChem,,,GLB,mol m-3 s-1,New,,,,,,
Variable atmosChem.stratch4loss.tavg-al-hxy-u.mon.GLB (AERmon.stratch4loss),404,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/404,mon atmosChem do-not-produce,stratch4loss_tavg-al-hxy-u,tendency_of_atmosphere_mole_concentration_of_methane_due_to_chemical_destruction,Not present,area: areacella,area: time: mean,This is the loss rate of stratospheric methane by all chemical destruction. The distinction between the stratosphere and troposphere should be consistent with the tropopause as used in the calculation of the tropopause pressure (ptp). It should have zero values in the troposphere.,longitude latitude alevel time,mon,Loss of Stratospheric Methane by all chemical destruction,atmosChem,,,GLB,mol m-3 s-1,New,,,,,,
Variable atmosChem.rsuto3ref.tavg-u-hxy-u.mon.GLB (AERmon.rsuto3ref),402,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/402,mon atmosChem,rsuto3ref_tavg-u-hxy-u,toa_outgoing_shortwave_flux_assuming_reference_mole_fraction_of_ozone_in_air,Not present,area: areacella,area: time: mean,"This is top-of-atmosphere outgoing shortwave flux for all-sky conditions from a diagnostic call to the radiation scheme, using a reference ozone field",longitude latitude time,mon,TOA shortwave flux assuming reference ozone field,atmosChem,,,GLB,W m-2,New,,,,,,
Variable atmosChem.rsutcso3ref.tavg-u-hxy-u.mon.GLB (AERmon.rsutcso3ref),401,https://github.com/UKNCSP/CDDS-CMIP7-mappings/issues/401,mon atmosChem,rsutcso3ref_tavg-u-hxy-u,toa_outgoing_shortwave_flux_assuming_clear_sky_and_reference_mole_fraction_of_ozone_in_air,Not present,area: areacella,area: time: mean,This represents the top-of-atmosphere outgoing shortwave radiative flux assuming clear-sky conditions when a reference ozone field is used in a diagnostic call to the radiation scheme,longitude latitude time,mon,TOA shortwave flux assuming clear sky and reference ozone,atmosChem,,,GLB,W m-2,New,,,,,,
